NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,REDSHIFT_BIN,pointing,redshift_bin
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F606W,-0.02243287,0.01989233,-1.1277145512868527,0.00019731,0.00254306,0.07758763064968974,-1.2053021819365424,-14.534720829129512,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F814W,0.02609553,0.01603259,1.6276552946217673,0.00526376,0.00450727,1.167837737699317,0.4598175569224503,1.3937341139774329,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F115W,-0.07187427,0.03779492,-1.901691285495511,0.00017467,0.0027334,0.06390209994878174,-1.9655933854442929,-29.759449016851377,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F150W,0.1752925,0.04478944,3.913701533218544,0.00622469,0.00280176,2.2217070698418135,1.6919944633767305,1.761574055528932,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F200W,-0.007061736,0.03555089,-0.19863738995001248,0.00184338,0.00233504,0.7894425791421131,-0.9880799690921256,-0.25161727426188696,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F277W,0.05323901,0.02953175,1.8027719319037987,0.00412005,0.00190446,2.1633691440093257,-0.360597212105527,0.8333168367940943,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F356W,0.5549479,0.03108234,17.85412230868075,0.01011905,0.00213322,4.7435566889491,13.11056561973165,3.76386822787949,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F410M,0.9649878,0.06864672,14.057303830394227,0.02878672,0.00394745,7.292485021976212,6.764818808418015,1.9276424686553277,redshift_z7-8,nircam1,redshift_z7-8
345,6115.5791,222.8322,214.9990196,52.9606688,0.404,F444W,-0.0005963572,0.05495741,-0.010851261003748176,1.747e-05,0.00398853,0.004380059821538261,-0.015231320825286438,-2.477423013811088,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F606W,-0.04207531,0.01447379,-2.9070001706532977,0.00085744,0.00264706,0.3239216338126072,-3.230921804465905,-8.974393393974527,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F814W,-0.01759137,0.01166542,-1.5079928540935517,-0.00204753,0.00359485,-0.5695731393521287,-0.9384197147414229,,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F115W,0.3504083,0.02749984,12.742194136402247,0.00618651,0.00259261,2.386209264023513,10.355984872378734,5.339931551064789,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F150W,0.4636087,0.0325891,14.225882273520899,0.010537,0.00312402,3.3728977407314935,10.852984532789405,4.217703401359472,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F200W,0.2826118,0.02586707,10.9255435578904,0.00678588,0.00260582,2.6041246133654665,8.321418944524932,4.19547647674612,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F277W,0.1626002,0.02148751,7.567196012939609,0.00357165,0.00183571,1.9456504567714945,5.621545556168115,3.8892885341266275,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F356W,0.1535767,0.02261573,6.790702754233448,0.00278148,0.00184992,1.5035677218474313,5.287135032386017,4.516393013471799,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F410M,0.5290991,0.04994782,10.593036893301852,0.01937669,0.00351895,5.506384006592875,5.086652886708976,1.9237737289332983,redshift_z7-8,nircam1,redshift_z7-8
658,2824.2583,284.8748,215.0279148,52.9818756,0.616,F444W,0.07157905,0.03998739,1.7900405602866305,0.00521892,0.00257897,2.023645098624645,-0.23360453833801453,0.8845624964096807,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F606W,-0.157783,0.06219804,-2.5367841173130214,0.00086778,0.00290597,0.2986197379876599,-2.8354038553006813,-8.495031622517367,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F814W,0.3173672,0.05012965,6.330927903945071,0.00146376,0.00401192,0.3648527388382619,5.966075165106809,17.352008714813433,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F115W,13.65306,0.1181747,115.53285094017586,0.03098949,0.00317415,9.763083030102548,105.76976791007331,11.833644206850748,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F150W,16.1507,0.1400447,115.32532112961077,0.03833425,0.00338794,11.314914077581067,104.0104070520297,10.192328491306169,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F200W,12.70096,0.1111582,114.26021652023873,0.02282415,0.00313186,7.287729975158532,106.9724865450802,15.67843716901067,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F277W,5.951633,0.09233797,64.45488242810623,0.0141617,0.0022663,6.248819662004147,58.206062766102086,10.31472916717747,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F356W,4.972605,0.09718625,51.165725604187834,0.01343599,0.00276091,4.8665077818545335,46.299217822333304,10.51384851267813,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F410M,3.747956,0.2146401,17.46158336676138,0.02489761,0.00346216,7.191351641749659,10.270231725011723,2.4281364945899058,redshift_z7-8,nircam1,redshift_z7-8
740,2924.134,343.8008,215.0263972,52.981561,0.0,F444W,2.626362,0.1718373,15.284004113193118,0.00628439,0.00279892,2.2452910408300344,13.038713072363084,6.807137175206899,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F606W,0.008718523,0.01929839,0.45177462990435996,0.00035369,0.00217951,0.1622795949548293,0.28949503494953066,2.783927517382034,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F814W,-0.06858025,0.01555389,-4.409202456748761,-0.00729855,0.00266291,-2.740817376479115,-1.6683850802696463,,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F115W,0.2152266,0.03666645,5.869851049119835,0.00419659,0.00258687,1.622265517787906,4.247585531331929,3.618304762542118,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F150W,-0.0133467,0.04345214,-0.3071586347645939,-0.00012497,0.00356346,-0.03506984784451067,-0.2720887869200832,,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F200W,0.2231087,0.03448943,6.46890076176962,0.00463317,0.00243779,1.9005615742127089,4.568339187556911,3.403678601914966,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F277W,0.049088,0.02865001,1.713367639313215,0.00038669,0.00146363,0.2641992853385077,1.4491683539747071,6.485133512446665,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F356W,0.3655534,0.0301543,12.122761927817923,0.00812419,0.00196039,4.1441702926458515,7.978591635172071,2.925256703212871,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F410M,0.7779453,0.0665971,11.68136900856043,0.01923713,0.00439624,4.375814332247558,7.305554676312873,2.6695303140433997,redshift_z7-8,nircam1,redshift_z7-8
776,6030.3413,333.5001,214.9986192,52.9618076,0.347,F444W,-6.592902e-05,0.05331652,-0.0012365589502090534,-1.44e-06,0.00340476,-0.0004229372995453424,-0.000813621650663711,,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F606W,0.04313168,0.01303535,3.308824082207229,0.00533083,0.00211498,2.5205108322537333,0.7883132499534957,1.3127593184150768,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F814W,-0.00457048,0.01050608,-0.43503190533481567,0.00186762,0.00295454,0.6321187054499178,-1.0671506107847335,-0.6882123588245608,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F115W,0.1726663,0.02476683,6.971675422328977,0.0048585,0.00152331,3.1894361620418694,3.782239260287108,2.185864544116076,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F150W,0.1569514,0.0293503,5.34752285325874,0.00530376,0.00224233,2.365289676363426,2.982233176895314,2.260832111473307,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F200W,0.1342594,0.02329633,5.763113760837007,0.00305906,0.0014678,2.084112276876959,3.6790014839600484,2.7652606938590805,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F277W,0.09341374,0.01935202,4.827079550351849,0.00320893,0.00114625,2.7995027262813523,2.0275768240704966,1.7242632075460689,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F356W,0.1024053,0.02036811,5.027727167616436,0.00415776,0.0013938,2.983039173482566,2.04468799413387,1.6854378622680934,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F410M,0.2194852,0.04498386,4.879198894892523,0.01269753,0.00266828,4.758694739682492,0.120504155210031,1.0253229429080948,redshift_z7-8,nircam1,redshift_z7-8
1651,1740.5952,688.1799,215.0334023,52.9909271,0.351,F444W,0.09530212,0.03601333,2.646301244566942,0.00617696,0.00217587,2.8388460707670955,-0.19254482620015345,0.9321749677860747,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F606W,0.02625544,0.01471305,1.784500154624636,0.00135496,0.00233625,0.5799721776350991,1.204527976989537,3.0768720008279247,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F814W,0.009353149,0.01185825,0.788746147197099,0.00208264,0.00289556,0.7192529251681886,0.0694932220289104,1.0966186157847884,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F115W,-0.0238043,0.02795441,-0.8515400611209466,2.523e-05,0.00177341,0.014226828539367659,-0.8657668896603142,-59.85452476387229,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F150W,0.2351167,0.0331278,7.097262721943504,0.00548763,0.0021772,2.520498805805622,4.576763916137882,2.815816736590367,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F200W,-0.01667589,0.02629466,-0.6341930262646484,-0.00016213,0.00190503,-0.0851062712923156,-0.5490867549723327,,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F277W,0.08215326,0.0218427,3.7611311788377813,0.00270121,0.00137134,1.969759505301384,1.7913716735363971,1.9094367453057715,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F356W,0.3132816,0.02298957,13.627118732538277,0.00810075,0.00129046,6.277412705546859,7.349706026991417,2.1708177192965272,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F410M,0.5782191,0.05077346,11.388215418055022,0.01781485,0.00316405,5.630394589213192,5.75782082884183,2.0226318489067823,redshift_z7-8,nircam1,redshift_z7-8
2648,6132.3662,1123.2719,214.9893869,52.965429,0.36,F444W,0.2550942,0.04064839,6.275628628833762,0.00837788,0.00234987,3.5652525458855173,2.710376082948245,1.7602199418036057,redshift_z7-8,nircam1,redshift_z7-8
4066,2787.1719,1687.974,215.0134695,52.9896975,0.001,F606W,-0.02689152,0.04178225,-0.6436111028008304,-0.00073198,0.00258403,-0.2832707050614737,-0.3603403977393567,,redshift_z7-8,nircam1,redshift_z7-8
4066,2787.1719,1687.974,215.0134695,52.9896975,0.001,F814W,-0.03644856,0.03367517,-1.0823571195037769,0.00176711,0.00279669,0.6318576603055754,-1.7142147798093523,-1.7129761772300638,redshift_z7-8,nircam1,redshift_z7-8
4066,2787.1719,1687.974,215.0134695,52.9896975,0.001,F115W,1.50362,0.07938521,18.94080773988001,0.01564954,0.00189042,8.278340263010335,10.662467476869676,2.287995798446726,redshift_z7-8,nircam1,redshift_z7-8
4066,2787.1719,1687.974,215.0134695,52.9896975,0.001,F150W,2.216012,0.09407664,23.55539058367731,0.01263529,0.00249711,5.059965319909816,18.495425263767494,4.6552474363790965,redshift_z7-8,nircam1,redshift_z7-8
4066,2787.1719,1687.974,215.0134695,52.9896975,0.001,F200W,2.70938,0.0746718,36.283844771386256,0.01391485,0.00198198,7.020681338863157,29.2631634325231,5.168137253365443,redshift_z7-8,nircam1,redshift_z7-8
